latitude,longitude,name,source,precision,,
42.0439301,-87.6930008,"1418 Lake Street, Evanston, Illinois 60201",Bing Maps,address,,
41.8158048,-87.6668295,"1653 West 43rd Street, Chicago, Illinois 60609",Bing Maps,address,,
42.1265106,-87.8640823,"3433 Walters Avenue, Northbrook, Illinois 60062",Bing Maps,address,,
39.7208519,-89.6156311,"5250 Shepherd Road, Springfield, Illinois 62794",Bing Maps,address,,
41.7835846,-87.9597244,"5728 Virginia Avenue, Clarendon Hills, Illinois 60514",Bing Maps,address,,
41.9053345,-88.1212463,"140 North Gary Avenue, Carol Stream, Illinois 60188",Bing Maps,address,,
40.4709816,-88.9902802,"309 East Wood Street, Bloomington, Illinois 61701",Bing Maps,address,,
41.8041229,-88.3253708,"12 John St, North Aurora, Illinois 60542",Bing Maps,address,,
38.0914731,-88.538121,"310 South Pearl St., McLeansboro, Illinois 62859",Bing Maps,address,,
41.7960815,-87.5977249,"5467 South University, Chicago, Illinois 60615",Bing Maps,address,,
40.5321486,-88.9631076,"1700 North Towanda Avenue, Normal, Illinois 61761",Bing Maps,address,,
42.3181953,-88.990036,"6473 East Riverside Blvd., Rockford, Illinois 61114",Bing Maps,address,,
37.7311821,-88.9161987,"1104 East Main, Marion, Illinois 62959",Bing Maps,address,,
41.9411793,-87.642982,"524 West Melrose, Chicago, Illinois 60657",Bing Maps,address,,
42.2938461,-89.6130676,"511 South Liberty, Freeport, Illinois 61032",Bing Maps,address,,
39.3042514,-89.2889256,"110 West Hamilton Street, Nokomis, Illinois 62075",Bing Maps,address,,
39.3014726,-89.2787915,"509 East Union, Nokomis, Illinois 62075",Bing Maps,address,,
41.4986725,-90.4211884,"644 Crosstown Avenue, Silvis, Illinois 61282",Bing Maps,address,,
42.1863823,-87.9074936,"30 Riverwoods Road, Lincolnshire, Illinois 60069",Bing Maps,address,,
41.779686,-87.5873947,"6330 S. Stony Island, Chicago, Illinois 60637",Bing Maps,address,,
41.8789787,-87.978363,"545 South Ardmore Avenue, Villa Park, Illinois 60181",Bing Maps,address,,
41.9956617,-87.8677692,"2300 East Devon, Des Plaines, Illinois 60018",Bing Maps,address,,
41.9111061,-87.7212296,"1633 North Hamlin Avenue, Chicago, Illinois 60647",Bing Maps,address,,
42.0545905,-87.8855194,"1600 East Gold Road, Des Plaines, Illinois 60016",Bing Maps,address,,
42.0412251,-87.6894546,"1224 Dempster Street, Evanston, Illinois 60202",Bing Maps,address,,
40.6943741,-89.5865021,"210 Spalding Avenue, Peoria, Illinois 61603",Bing Maps,address,,
41.9030495,-87.8051071,"1235 North Harlem Avenue, Oak Park, Illinois 60302",Bing Maps,address,,
40.1059422,-88.2217155,"1105 W. Nevada, Urbana, Illinois 61801",Bing Maps,address,,
41.9676323,-88.1086884,"1080 West Lake Street, Roselle, Illinois 60172",Bing Maps,address,,
41.7300278,-87.5496016,"3039 East 91st Street, Chicago, Illinois 60617",Bing Maps,address,,
39.7728348,-89.6545029,"2501 South First Street, Springfield, Illinois 62704",Bing Maps,address,,
41.6748428,-87.8358307,"8800 West 119th Street, Palos Park, Illinois 60464",Bing Maps,address,,
42.0472565,-87.6778107,"516 Church St., Evanston, Illinois 60201",Bing Maps,address,,
41.8875694,-87.7992325,"946 North Blvd, Oak Park, Illinois 60302",Bing Maps,address,,
38.5369552,-89.8742245,"441 W. Winters Street, Scott AFB, Illinois 62225",Bing Maps,address,,
42.0734901,-87.8112717,"1000 Elm Street, Glenview, Illinois 60025",Bing Maps,address,,
41.8740296,-87.6801279,"2150 W. Harrison, Chicago, Illinois 60612",Bing Maps,address,,
42.0850282,-87.7494563,"3013 Illinois Road, Wilmette, Illinois 60091",Bing Maps,address,,
41.9264808,-87.7096738,"3255 W. Altgeld Street, Chicago, Illinois 60647",Bing Maps,address,,
42.0544777,-87.6960526,"2010 Dewey, Evanston, Illinois 60201",Bing Maps,address,,
38.5245323,-90.0041122,"727 N 17th Street, Belleville, Illinois 62226",Bing Maps,address,,
42.3586655,-88.0105896,"19351 Washington Street, Grayslake, Illinois 60030",Bing Maps,address,,
42.2522621,-87.8327942,"700 North Sheridan Road, Lake Forest, Illinois 60045",Bing Maps,address,,
41.8791854,-87.6292672,"219 South Dearborn, Chicago, Illinois 60604",Bing Maps,address,,
41.8769357,-87.6302194,"78 West Van Buren Street, Chicago, Illinois 60605",Bing Maps,address,,
41.8681946,-87.6755981,"1919 West Taylor Street (mc 525), Chicago, Illinois 60612",Bing Maps,address,,
41.867939,-87.6460724,"728 W. Roosevelt Road (East Side), Chicago, Illinois 60607",Bing Maps,address,,
42.0179558,-87.7220688,"3701 Howard Street, Skokie, Illinois 60076",Bing Maps,address,,
42.0781975,-87.7051392,"1125 Wilmette Avenue, Wilmette, Illinois 600912603",Bing Maps,address,,
41.9514897,-87.6798168,"3855 North Seeley Avenue, Chicago, Illinois 60618",Bing Maps,address,,
41.779117,-87.666893,"1701 West 63rd Street, Chicago, Illinois 60636",Bing Maps,address,,
42.0797577,-88.067009,"1200 West Algonquin Road, Palatine, Illinois 60067",Bing Maps,address,,
42.0461464,-87.8575516,"9375 Church Street, Des Plaines, Illinois 60016",Bing Maps,address,,
41.9674606,-87.6572037,"4701 North Winthrop Avenue, Chicago, Illinois 60640",Bing Maps,address,,
41.8948021,-87.6701355,"1701 West Superior, Chicago, Illinois 60622",Bing Maps,address,,
41.8176575,-87.922699,"901 North Elm Street, Hinsdale, Illinois 60521",Bing Maps,address,,
41.9145241,-87.6391449,"1753 North Fern Court, Chicago, Illinois 60614",Bing Maps,address,,
38.5369552,-89.8748629,"461 W. Winter Street, Scott AFB, Illinois 62225",Bing Maps,address,,
42.05476,-87.7196503,"3637 Golf Road, Evanston, Illinois 60203",Bing Maps,address,,
41.9360369,-87.664445,"1439 West Wellington, Chicago, Illinois 60657",Bing Maps,address,,
40.1319809,-88.2897644,"2400 W. Bradley Ave., Champaign, Illinois 61821",Bing Maps,address,,
41.8932228,-87.615799,"441 East Ontario Street, Chicago, Illinois 60611",Bing Maps,address,,
42.3588982,-88.1046371,"814 Hart Road, Round Lake, Illinois 60073",Bing Maps,address,,
42.3846436,-88.0750961,"2041 N. Orchard Lane, Round Lake Beach, Illinois 60073",Bing Maps,address,,
